epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,504.624,1.59929,2.94334,1.18084,0.91177,0.10464,0.21453,0.13322,1.43915,3.19499,1.07277,0.000274013,0.000274013,0.000274013
2,990.445,1.49396,1.57714,1.16043,0.65073,0.40089,0.37408,0.22165,1.36304,1.4446,1.12368,0.000546218,0.000546218,0.000546218
3,1474.13,1.44768,1.40792,1.13768,0.74409,0.40233,0.43663,0.26058,1.33741,1.30285,1.11861,0.000812925,0.000812925,0.000812925
4,1955.02,1.44665,1.321,1.13542,0.57965,0.42271,0.44325,0.2732,1.30342,1.26241,1.09381,0.00080826,0.00080826,0.00080826
5,2432.92,1.40792,1.26304,1.12189,0.6999,0.47932,0.49182,0.28813,1.33633,1.17832,1.10866,0.000800013,0.000800013,0.000800013
6,2906.15,1.39174,1.19173,1.10774,0.63003,0.51328,0.52298,0.3269,1.29661,1.09346,1.09191,0.000791767,0.000791767,0.000791767
7,3382.78,1.38225,1.18332,1.11325,0.67367,0.53874,0.55483,0.3459,1.29121,1.11122,1.08549,0.00078352,0.00078352,0.00078352
8,3867.08,1.35242,1.15371,1.10149,0.55408,0.61544,0.57639,0.36088,1.26157,1.05463,1.09192,0.000775273,0.000775273,0.000775273
9,4351.47,1.3328,1.11919,1.09512,0.54383,0.6019,0.57457,0.36793,1.27911,1.0988,1.08533,0.000767026,0.000767026,0.000767026
10,4865.09,1.35087,1.10989,1.09865,0.54759,0.56616,0.57397,0.35731,1.26346,1.01755,1.08907,0.00075878,0.00075878,0.00075878
11,5386.93,1.31897,1.08554,1.07808,0.58749,0.56733,0.57842,0.36876,1.25476,1.01734,1.07433,0.000750533,0.000750533,0.000750533
12,5885.46,1.32809,1.0562,1.08955,0.62685,0.61343,0.59456,0.36698,1.26578,0.98411,1.07869,0.000742286,0.000742286,0.000742286
13,6375.25,1.31198,1.04283,1.08147,0.56815,0.60582,0.58889,0.37257,1.22203,0.98143,1.07726,0.00073404,0.00073404,0.00073404
14,6861.06,1.31403,1.03519,1.08771,0.68397,0.59479,0.6151,0.38754,1.22242,0.97026,1.06367,0.000725793,0.000725793,0.000725793
15,7372.91,1.28965,1.01021,1.0676,0.60109,0.62293,0.60326,0.38235,1.25598,0.97518,1.06642,0.000717546,0.000717546,0.000717546
16,7880.98,1.27939,0.98948,1.07648,0.56314,0.59749,0.58411,0.36717,1.2457,0.96291,1.07546,0.000709299,0.000709299,0.000709299
17,8361.44,1.27869,0.97541,1.06046,0.54865,0.65041,0.6066,0.38043,1.27359,0.94486,1.06527,0.000701053,0.000701053,0.000701053
18,8888.61,1.29444,0.98715,1.06962,0.57351,0.65679,0.60417,0.39124,1.20302,0.94538,1.06096,0.000692806,0.000692806,0.000692806
19,9379.32,1.26706,0.96163,1.0651,0.57409,0.64648,0.60104,0.39066,1.2258,0.94093,1.0684,0.000684559,0.000684559,0.000684559
20,9868.83,1.28953,0.95922,1.06706,0.61871,0.65846,0.63388,0.40159,1.25888,0.92647,1.06184,0.000676313,0.000676313,0.000676313
21,10377.1,1.25917,0.96299,1.06484,0.68675,0.6227,0.63206,0.41295,1.21675,0.91542,1.04803,0.000668066,0.000668066,0.000668066
22,10890.4,1.26405,0.95291,1.06446,0.57729,0.58923,0.5934,0.37932,1.22303,0.89981,1.06881,0.000659819,0.000659819,0.000659819
23,11407.7,1.27075,0.92908,1.05956,0.57863,0.60488,0.61417,0.40186,1.21513,0.9029,1.05027,0.000651573,0.000651573,0.000651573
24,11920.3,1.2582,0.94579,1.06241,0.71369,0.60871,0.63417,0.40337,1.21845,0.9163,1.05564,0.000643326,0.000643326,0.000643326
25,12433.9,1.25209,0.9183,1.05421,0.61893,0.61067,0.63192,0.41366,1.20634,0.87916,1.05908,0.000635079,0.000635079,0.000635079
26,12947.4,1.26485,0.92767,1.05991,0.58892,0.60452,0.6185,0.40005,1.20298,0.86271,1.05457,0.000626832,0.000626832,0.000626832
27,13457.1,1.25762,0.91567,1.06639,0.68473,0.63615,0.6387,0.41977,1.1883,0.85984,1.05916,0.000618586,0.000618586,0.000618586
28,13971.3,1.24618,0.92712,1.05698,0.54593,0.59981,0.61233,0.38472,1.19759,0.87697,1.05762,0.000610339,0.000610339,0.000610339
29,14480,1.24613,0.91478,1.06294,0.72364,0.603,0.64251,0.41336,1.19721,0.86823,1.04583,0.000602092,0.000602092,0.000602092
30,14966.9,1.22129,0.89768,1.05063,0.58805,0.61161,0.62584,0.40627,1.19498,0.85858,1.05523,0.000593846,0.000593846,0.000593846
31,15452.8,1.23035,0.90277,1.05125,0.53288,0.67273,0.62539,0.40999,1.19601,0.85814,1.04862,0.000585599,0.000585599,0.000585599
32,15928.7,1.21788,0.87954,1.04307,0.61739,0.6075,0.62895,0.41153,1.19306,0.85257,1.04743,0.000577352,0.000577352,0.000577352
33,16401.4,1.20825,0.88234,1.04712,0.57773,0.67796,0.63222,0.41969,1.18129,0.84668,1.0464,0.000569106,0.000569106,0.000569106
34,16875.4,1.21436,0.85835,1.04418,0.70927,0.61154,0.64048,0.42894,1.21989,0.86726,1.05261,0.000560859,0.000560859,0.000560859
35,17346.9,1.21878,0.86248,1.04798,0.72706,0.62815,0.63896,0.42556,1.17881,0.83719,1.04384,0.000552612,0.000552612,0.000552612
36,17834.4,1.21288,0.8483,1.03688,0.57291,0.62555,0.62566,0.4223,1.16845,0.84173,1.04134,0.000544365,0.000544365,0.000544365
37,18330.1,1.20295,0.85606,1.03551,0.55281,0.71042,0.65388,0.43071,1.16714,0.81989,1.05223,0.000536119,0.000536119,0.000536119
38,18810.1,1.21915,0.86405,1.04764,0.60039,0.68933,0.65704,0.43048,1.17081,0.85195,1.04081,0.000527872,0.000527872,0.000527872
39,19292.4,1.19502,0.84851,1.0379,0.5845,0.62809,0.64639,0.41477,1.1596,0.83736,1.04784,0.000519625,0.000519625,0.000519625
40,19765,1.21566,0.84462,1.03832,0.57802,0.6825,0.65498,0.43711,1.17202,0.81557,1.04299,0.000511379,0.000511379,0.000511379
