epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,708.394,1.57983,2.69187,1.22772,0.53574,0.30003,0.25373,0.15381,1.41933,2.02451,1.15854,0.000275497,0.000275497,0.000275497
2,1598.42,1.44913,1.60413,1.17731,0.45076,0.31283,0.26563,0.13964,1.40655,1.91615,1.21378,0.000551339,0.000551339,0.000551339
3,2335.07,1.4076,1.421,1.16046,0.54911,0.37496,0.38149,0.22317,1.38081,1.43945,1.16691,0.000825347,0.000825347,0.000825347
4,3024.47,1.39986,1.34325,1.15399,0.56666,0.42487,0.40961,0.24428,1.35304,1.3294,1.13905,0.000824753,0.000824753,0.000824753
5,3711.96,1.35955,1.28778,1.1427,0.61661,0.46624,0.46649,0.27432,1.3205,1.20735,1.13673,0.000822004,0.000822004,0.000822004
6,4398.17,1.36232,1.26223,1.13583,0.63132,0.4798,0.48675,0.29071,1.28883,1.22151,1.13964,0.000819255,0.000819255,0.000819255
7,5080.81,1.32389,1.19905,1.12633,0.62754,0.50053,0.50013,0.31005,1.24296,1.15011,1.12522,0.000816507,0.000816507,0.000816507
8,5740.22,1.31993,1.18655,1.12494,0.49832,0.59244,0.52342,0.31731,1.27533,1.15947,1.13993,0.000813758,0.000813758,0.000813758
9,6420.08,1.30111,1.14267,1.1133,0.476,0.58676,0.526,0.32361,1.25215,1.08653,1.10205,0.000811009,0.000811009,0.000811009
10,7109.94,1.29393,1.11569,1.10373,0.52196,0.56351,0.53853,0.33418,1.25089,1.03544,1.10625,0.00080826,0.00080826,0.00080826
11,7809.42,1.28134,1.10688,1.10329,0.48615,0.57972,0.5284,0.32908,1.25322,1.05465,1.10027,0.000805511,0.000805511,0.000805511
12,8469.42,1.28521,1.09093,1.10043,0.52985,0.52693,0.54682,0.34863,1.21388,1.01814,1.09347,0.000802762,0.000802762,0.000802762
13,9150.14,1.26734,1.09114,1.10137,0.49643,0.58348,0.5391,0.34079,1.2248,1.00663,1.0959,0.000800013,0.000800013,0.000800013
14,9848,1.26344,1.04635,1.08683,0.66815,0.52208,0.55531,0.35603,1.20884,0.99353,1.08619,0.000797264,0.000797264,0.000797264
15,10546,1.27178,1.08011,1.10382,0.53248,0.55326,0.53614,0.35004,1.20766,1.0265,1.08774,0.000794515,0.000794515,0.000794515
16,11245.3,1.26007,1.06195,1.09851,0.6456,0.55135,0.55975,0.35106,1.21113,1.01229,1.08507,0.000791767,0.000791767,0.000791767
17,11944.3,1.25088,1.04132,1.08901,0.54607,0.57723,0.56707,0.36032,1.20075,0.99345,1.09023,0.000789018,0.000789018,0.000789018
18,12605.4,1.25102,1.0439,1.08464,0.51565,0.60862,0.56601,0.36018,1.2061,1.01621,1.09512,0.000786269,0.000786269,0.000786269
19,13278.4,1.24142,1.03202,1.08495,0.53767,0.57811,0.54191,0.34925,1.20116,0.98866,1.08296,0.00078352,0.00078352,0.00078352
20,13933.3,1.23009,1.04175,1.08994,0.55397,0.60876,0.5763,0.36758,1.19647,0.98358,1.08097,0.000780771,0.000780771,0.000780771
21,14580.7,1.22673,1.01369,1.08034,0.51409,0.63496,0.58247,0.37658,1.20399,0.96496,1.08352,0.000778022,0.000778022,0.000778022
22,15229.2,1.23603,1.00656,1.08551,0.6324,0.55407,0.56686,0.35685,1.22212,1.03214,1.10028,0.000775273,0.000775273,0.000775273
23,15877.9,1.22684,0.98841,1.07451,0.63759,0.57201,0.56817,0.37333,1.17015,0.92891,1.07665,0.000772524,0.000772524,0.000772524
24,16531.2,1.20803,0.98683,1.07397,0.55168,0.56787,0.56055,0.35896,1.20028,0.99147,1.08568,0.000769775,0.000769775,0.000769775
25,17182.2,1.21193,0.99267,1.07748,0.49705,0.64678,0.57145,0.3761,1.18598,0.93957,1.07044,0.000767026,0.000767026,0.000767026
26,17832.1,1.20656,0.98198,1.07224,0.52597,0.63973,0.57974,0.3811,1.16746,0.94699,1.07443,0.000764278,0.000764278,0.000764278
27,18474.8,1.20722,0.97527,1.06907,0.5171,0.62377,0.58592,0.37772,1.21633,0.94195,1.0809,0.000761529,0.000761529,0.000761529
28,19114,1.1953,0.95789,1.06435,0.55302,0.58979,0.59278,0.39047,1.15586,0.93186,1.07434,0.00075878,0.00075878,0.00075878
29,19752.9,1.20083,0.96622,1.07163,0.49635,0.64339,0.58739,0.37992,1.16571,0.93495,1.06736,0.000756031,0.000756031,0.000756031
30,20386.7,1.18693,0.96388,1.06425,0.53039,0.63956,0.59489,0.38679,1.16885,0.91985,1.07611,0.000753282,0.000753282,0.000753282
31,21018.9,1.18351,0.94861,1.06015,0.5496,0.61711,0.5871,0.38706,1.16281,0.93444,1.07173,0.000750533,0.000750533,0.000750533
32,21650.7,1.19511,0.97657,1.07374,0.56402,0.59632,0.58716,0.38414,1.16823,0.94636,1.07715,0.000747784,0.000747784,0.000747784
33,22280.1,1.20268,0.95217,1.06447,0.45624,0.67063,0.58843,0.39053,1.14627,0.91406,1.05844,0.000745035,0.000745035,0.000745035
34,22899.2,1.20603,0.96242,1.06965,0.49591,0.68988,0.60116,0.39334,1.15034,0.92233,1.07445,0.000742286,0.000742286,0.000742286
35,23513.7,1.18635,0.95634,1.06658,0.49815,0.64066,0.60067,0.39874,1.14924,0.90795,1.05695,0.000739537,0.000739537,0.000739537
36,24131.4,1.17591,0.93663,1.05765,0.52483,0.62675,0.58347,0.38524,1.1614,0.91323,1.06973,0.000736788,0.000736788,0.000736788
37,24749.6,1.17004,0.93883,1.06081,0.50614,0.6625,0.59588,0.39021,1.16238,0.91375,1.06004,0.00073404,0.00073404,0.00073404
38,25367.2,1.18422,0.94377,1.06383,0.51856,0.64008,0.59784,0.39419,1.14124,0.90581,1.05717,0.000731291,0.000731291,0.000731291
39,25982.5,1.185,0.94048,1.06441,0.49594,0.66513,0.5942,0.39086,1.13189,0.90356,1.05762,0.000728542,0.000728542,0.000728542
40,26598.3,1.16568,0.91901,1.05046,0.5182,0.66852,0.60831,0.40592,1.13893,0.89441,1.06504,0.000725793,0.000725793,0.000725793
41,27212.4,1.15945,0.92507,1.05913,0.55969,0.62139,0.59816,0.39373,1.1465,0.90503,1.066,0.000723044,0.000723044,0.000723044
42,27821.4,1.16351,0.91275,1.05158,0.51381,0.66642,0.60312,0.39752,1.15087,0.89179,1.06747,0.000720295,0.000720295,0.000720295
43,38480.2,1.15621,0.91152,1.05459,0.65326,0.57315,0.59067,0.38953,1.14209,0.91107,1.06499,0.000717546,0.000717546,0.000717546
