epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,483.368,1.56644,2.74126,1.18679,0.79784,0.10276,0.24507,0.144,1.39647,3.19179,1.07286,0.000274013,0.000274013,0.000274013
2,948.55,1.48661,1.56564,1.17206,0.69769,0.36951,0.4065,0.24434,1.38482,1.57372,1.11395,0.000497064,0.000497064,0.000497064
3,1416.99,1.43937,1.40209,1.14836,0.5424,0.44622,0.43933,0.25964,1.33092,1.27933,1.10622,0.000665136,0.000665136,0.000665136
4,1878.51,1.40559,1.3075,1.13859,0.78829,0.40496,0.48698,0.29385,1.3539,1.22564,1.08467,0.000585599,0.000585599,0.000585599
5,2336.39,1.36579,1.23516,1.11639,0.64344,0.48591,0.50354,0.32312,1.26176,1.12243,1.08471,0.000503132,0.000503132,0.000503132
6,2795.81,1.33433,1.17547,1.10755,0.73008,0.48983,0.52592,0.32699,1.27273,1.10245,1.06926,0.000420665,0.000420665,0.000420665
7,3253.69,1.31323,1.13657,1.09758,0.71152,0.53773,0.57788,0.37834,1.22996,1.04116,1.06385,0.000338198,0.000338198,0.000338198
8,3712.88,1.29332,1.10233,1.08839,0.70926,0.55513,0.58811,0.3695,1.24045,1.02805,1.06229,0.000255731,0.000255731,0.000255731
9,4171.64,1.26392,1.07399,1.08797,0.67861,0.58321,0.61417,0.3978,1.2159,0.99199,1.06148,0.000173264,0.000173264,0.000173264
10,4630.67,1.24635,1.03733,1.07393,0.71694,0.58848,0.62205,0.4061,1.18993,0.96347,1.04768,9.0797e-05,9.0797e-05,9.0797e-05
